051 dc81 2022 03 16 12 41 33
time, latitude, longitude, accuracy, private
472.7,52.020124,4.268650,1.5,P
473.7,52.020124,4.268650,1.5,P
474.9,52.020124,4.268650,2.0,P
475.7,52.020125,4.268650,2.0,P
476.9,52.020125,4.268649,2.0,P
477.7,52.020125,4.268649,2.0,P
478.7,52.020126,4.268649,2.0,P
479.7,52.020125,4.268649,2.0,P
480.7,52.020125,4.268648,2.0,P
481.7,52.020125,4.268646,2.0,P
482.7,52.020125,4.268645,2.0,P
483.8,52.020126,4.268645,2.0,P
484.7,52.020126,4.268644,2.0,P
485.7,52.020126,4.268644,2.0,P
486.8,52.020126,4.268644,2.0,P
487.7,52.020126,4.268643,2.0,P
488.8,52.020126,4.268642,2.0,P
489.7,52.020126,4.268642,3.0,P
490.9,52.020126,4.268644,3.0,P
491.7,52.020121,4.268643,3.0,P
492.7,52.020113,4.268647,3.0,P
493.6,52.020107,4.268645,4.0,P
494.8,52.020099,4.268645,4.0,P
495.7,52.020096,4.268650,4.0,P
496.6,52.020091,4.268652,4.0,P
497.8,52.020080,4.268672,3.0,P
498.7,52.020079,4.268676,3.0,P
499.8,52.020071,4.268674,3.0,P
500.8,52.020062,4.268666,3.0,P
501.8,52.020046,4.268666,3.0,P
502.7,52.020032,4.268654,3.0,P
503.7,52.020026,4.268644,3.0,P
504.7,52.020018,4.268635,3.0,P
505.8,52.020015,4.268630,2.0,P
507.0,52.020013,4.268628,2.0,P
508.7,52.020013,4.268628,2.0,P
509.7,52.020013,4.268628,2.0,P
510.7,52.020015,4.268620,2.0,P
511.7,52.020020,4.268608,3.0,P
512.9,52.020029,4.268594,3.0,P
513.9,52.020035,4.268575,3.0,P
514.9,52.020042,4.268559,3.0,P
515.7,52.020046,4.268537,3.0,P
516.7,52.020052,4.268522,3.0,P
517.7,52.020057,4.268514,3.0,P
518.8,52.020067,4.268506,3.0,P
519.7,52.020070,4.268490,3.0,P
520.7,52.020076,4.268485,3.0,P
521.7,52.020079,4.268474,3.0,P
522.7,52.020090,4.268506,3.0,P
523.8,52.020095,4.268517,3.0,P
524.7,52.020094,4.268543,3.0,P
525.7,52.020090,4.268571,3.0,P
526.7,52.020094,4.268584,3.0,P
528.1,52.020091,4.268598,3.0,P
530.0,52.020083,4.268615,3.0,P
531.7,52.020067,4.268643,3.0,P
532.8,52.020059,4.268657,3.0,P
533.7,52.020056,4.268664,3.0,P
534.7,52.020051,4.268670,3.0,P
535.7,52.020047,4.268674,3.0,P
536.6,52.020049,4.268673,3.0,P
537.7,52.020051,4.268653,3.0,P
538.7,52.020060,4.268642,3.0,P
539.7,52.020066,4.268616,3.0,P
540.7,52.020067,4.268589,3.0,P
541.8,52.020069,4.268569,3.0,P
542.7,52.020074,4.268549,3.0,P
543.7,52.020081,4.268528,3.0,P
544.7,52.020091,4.268508,3.0,P
545.7,52.020096,4.268491,3.0,P
546.7,52.020099,4.268483,3.0,P
547.9,52.020102,4.268481,3.0,P
548.8,52.020101,4.268504,3.0,P
549.8,52.020091,4.268532,3.0,P
550.7,52.020100,4.268548,3.0,P
551.7,52.020104,4.268559,4.0,P
552.8,52.020103,4.268575,4.0,P
553.8,52.020094,4.268591,4.0,P
554.7,52.020085,4.268604,4.0,P
555.7,52.020078,4.268618,3.0,P
556.9,52.020071,4.268627,3.0,P
558.7,52.020054,4.268658,3.0,P
559.7,52.020048,4.268666,3.0,P
560.7,52.020044,4.268673,3.0,P
561.7,52.020051,4.268666,3.0,P
562.8,52.020059,4.268662,3.0,P
563.8,52.020065,4.268637,3.0,P
564.7,52.020072,4.268612,3.0,P
565.7,52.020080,4.268595,3.0,P
566.8,52.020092,4.268578,3.0,P
567.7,52.020093,4.268556,4.0,P
568.9,52.020102,4.268537,4.0,P
569.7,52.020110,4.268521,4.0,P
570.7,52.020119,4.268510,4.0,P
571.7,52.020126,4.268504,4.0,P
572.7,52.020133,4.268518,4.0,P
573.8,52.020133,4.268541,4.0,P
574.7,52.020127,4.268546,4.0,P
575.7,52.020116,4.268545,4.0,P
576.7,52.020093,4.268566,4.0,P
577.7,52.020077,4.268594,4.0,P
578.7,52.020072,4.268610,4.0,P
579.7,52.020064,4.268625,3.0,P
580.7,52.020058,4.268638,3.0,P
581.8,52.020052,4.268646,3.0,P
582.7,52.020046,4.268658,3.0,P
583.9,52.020041,4.268669,3.0,P
584.8,52.020039,4.268671,3.0,P
585.8,52.020034,4.268678,3.0,P
586.8,52.020034,4.268672,3.0,P
587.9,52.020039,4.268656,3.0,P
588.7,52.020049,4.268636,3.0,P
589.9,52.020056,4.268613,3.0,P
590.7,52.020057,4.268586,3.0,P
591.7,52.020060,4.268569,3.0,P
592.7,52.020067,4.268539,3.0,P
593.7,52.020073,4.268505,3.0,P
594.7,52.020072,4.268487,3.0,P
595.7,52.020071,4.268468,4.0,P
596.8,52.020073,4.268455,4.0,P
597.7,52.020076,4.268482,4.0,P
598.8,52.020076,4.268515,4.0,P
599.7,52.020080,4.268542,3.0,P
600.7,52.020087,4.268558,3.0,P
601.7,52.020088,4.268578,3.0,P
602.7,52.020082,4.268596,3.0,P
603.9,52.020079,4.268614,3.0,P
604.7,52.020074,4.268629,3.0,P
605.7,52.020071,4.268635,3.0,P
606.8,52.020062,4.268650,3.0,P
607.7,52.020057,4.268661,3.0,P
608.7,52.020049,4.268674,3.0,P
609.9,52.020042,4.268683,3.0,P
610.7,52.020047,4.268677,3.0,P
611.7,52.020051,4.268662,3.0,P
612.7,52.020055,4.268638,3.0,P
613.8,52.020063,4.268621,3.0,P
614.8,52.020070,4.268600,3.0,P
615.8,52.020073,4.268574,4.0,P
616.7,52.020074,4.268554,4.0,P
617.8,52.020083,4.268536,4.0,P
618.7,52.020079,4.268512,4.0,P
619.7,52.020082,4.268495,4.0,P
620.7,52.020085,4.268487,4.0,P
621.8,52.020088,4.268505,4.0,P
622.7,52.020096,4.268513,4.0,P
623.7,52.020100,4.268526,4.0,P
624.7,52.020090,4.268562,4.0,P
625.7,52.020093,4.268579,4.0,P
626.7,52.020092,4.268593,4.0,P
627.7,52.020090,4.268596,4.0,P
628.7,52.020087,4.268597,4.0,P
629.7,52.020086,4.268601,4.0,P
630.9,52.020083,4.268615,4.0,P
631.7,52.020077,4.268626,3.0,P
633.1,52.020071,4.268637,3.0,P
634.8,52.020058,4.268648,3.0,P
635.7,52.020055,4.268639,3.0,P
636.7,52.020058,4.268610,3.0,P
637.8,52.020064,4.268584,3.0,P
638.7,52.020077,4.268561,3.0,P
639.7,52.020079,4.268538,4.0,P
640.8,52.020089,4.268525,4.0,P
641.7,52.020089,4.268506,4.0,P
642.7,52.020099,4.268494,4.0,P
643.7,52.020097,4.268478,4.0,P
644.7,52.020098,4.268464,4.0,P
645.7,52.020099,4.268477,4.0,P
646.8,52.020099,4.268496,4.0,P
647.7,52.020098,4.268511,4.0,P
648.9,52.020099,4.268525,4.0,P
649.7,52.020098,4.268535,4.0,P
650.7,52.020093,4.268545,4.0,P
651.7,52.020085,4.268558,4.0,P
652.7,52.020078,4.268578,4.0,P
653.7,52.020069,4.268601,4.0,P
654.7,52.020060,4.268615,4.0,P
655.9,52.020052,4.268630,3.0,P
656.8,52.020048,4.268648,3.0,P
657.8,52.020045,4.268660,3.0,P
658.7,52.020047,4.268661,3.0,P
659.7,52.020054,4.268640,3.0,P
660.7,52.020062,4.268618,3.0,P
661.7,52.020070,4.268597,3.0,P
662.7,52.020083,4.268576,3.0,P
663.7,52.020086,4.268563,4.0,P
665.0,52.020091,4.268543,4.0,P
666.8,52.020094,4.268514,4.0,P
667.7,52.020097,4.268505,3.0,P
668.9,52.020100,4.268522,3.0,P
669.8,52.020101,4.268541,3.0,P
670.8,52.020096,4.268563,3.0,P
671.8,52.020092,4.268568,4.0,P
672.8,52.020091,4.268574,4.0,P
673.7,52.020086,4.268588,4.0,P
674.7,52.020080,4.268591,4.0,P
675.7,52.020073,4.268595,4.0,P
676.7,52.020066,4.268606,4.0,P
677.7,52.020060,4.268612,4.0,P
678.8,52.020055,4.268623,4.0,P
679.7,52.020046,4.268642,3.0,P
680.7,52.020034,4.268658,3.0,P
681.7,52.020030,4.268658,3.0,P
683.0,52.020037,4.268653,3.0,P
684.7,52.020048,4.268638,4.0,P
685.9,52.020065,4.268631,4.0,P
687.7,52.020079,4.268585,4.0,P
688.9,52.020087,4.268565,4.0,P
690.8,52.020094,4.268527,4.0,P
691.8,52.020098,4.268522,4.0,P
692.7,52.020107,4.268536,4.0,P
693.8,52.020109,4.268548,4.0,P
694.7,52.020098,4.268572,4.0,P
695.7,52.020089,4.268596,4.0,P
696.8,52.020086,4.268608,4.0,P
697.7,52.020082,4.268622,4.0,P
698.7,52.020076,4.268629,4.0,P
699.8,52.020068,4.268637,4.0,P
700.7,52.020059,4.268644,4.0,P
701.8,52.020049,4.268662,4.0,P
702.8,52.020043,4.268673,4.0,P
703.7,52.020038,4.268676,3.0,P
704.8,52.020033,4.268678,3.0,P
705.7,52.020032,4.268673,3.0,P
706.8,52.020033,4.268658,3.0,P
707.7,52.020039,4.268641,3.0,P
708.7,52.020047,4.268623,3.0,P
